user_id,needed,technicians_id,covered,rating
1,ban,6,ban,5
2,bodi,19,bodi|interior|oli,4
3,mesin,5,mesin,1
4,interior,14,bodi|interior,4
5,ban,6,ban,5
6,ban,4,mesin|ban,4
7,bodi,16,bodi|oli,3
8,interior,11,interior|oli,1
9,oli,9,oli,5
10,ban,18,ban|oli,5
11,oli,20,mesin|bodi|oli,5
12,mesin,13,mesin|interior,5
13,oli,19,bodi|interior|oli,5
14,bodi,7,bodi,5
15,mesin,5,mesin,4
16,bodi,7,bodi,5
17,bodi,2,mesin|ban|bodi|interior,4
18,mesin,5,mesin,5
19,bodi,14,bodi|interior,5
20,interior,13,mesin|interior,5
21,mesin,5,mesin,5
22,bodi,20,mesin|bodi|oli,5
23,bodi,2,mesin|ban|bodi|interior,3
24,interior,13,mesin|interior,4
25,oli,9,oli,5
26,oli,18,ban|oli,1
27,interior,10,ban|bodi|interior,5
28,bodi,16,bodi|oli,4
29,oli,11,interior|oli,4
30,bodi,10,ban|bodi|interior,2
31,bodi,7,bodi,3
32,oli,9,oli,5
33,mesin,20,mesin|bodi|oli,5
34,ban,6,ban,5
35,interior,14,bodi|interior,4
36,mesin,4,mesin|ban,5
37,mesin,15,mesin|oli,5
38,interior,11,interior|oli,2
39,bodi,2,mesin|ban|bodi|interior,3
40,ban,6,ban,5
41,ban,12,ban|bodi,5
42,oli,18,ban|oli,5
43,ban,6,ban,4
44,oli,1,mesin|ban|bodi|interior|oli,5
45,ban,3,mesin|ban|bodi,5
46,interior,11,interior|oli,5
47,bodi,7,bodi,4
48,oli,16,bodi|oli,5
49,interior,14,bodi|interior,4
50,mesin,13,mesin|interior,3
51,mesin,3,mesin|ban|bodi,2
52,oli,11,interior|oli,5
53,oli,15,mesin|oli,5
54,ban,3,mesin|ban|bodi,5
55,interior,13,mesin|interior,5
56,mesin,15,mesin|oli,4
57,oli,9,oli,2
58,ban,12,ban|bodi,4
59,interior,19,bodi|interior|oli,4
60,oli,9,oli,5
61,interior,10,ban|bodi|interior,3
62,bodi,19,bodi|interior|oli,5
63,ban,18,ban|oli,4
64,interior,1,mesin|ban|bodi|interior|oli,5
65,ban,10,ban|bodi|interior,1
66,mesin,1,mesin|ban|bodi|interior|oli,3
67,oli,15,mesin|oli,4
68,mesin,2,mesin|ban|bodi|interior,5
69,oli,18,ban|oli,5
70,mesin,2,mesin|ban|bodi|interior,2
71,mesin,4,mesin|ban,5
72,mesin,5,mesin,4
73,interior,8,interior,5
74,interior,2,mesin|ban|bodi|interior,4
75,ban,18,ban|oli,5
76,interior,10,ban|bodi|interior,4
77,bodi,14,bodi|interior,4
78,interior,14,bodi|interior,3
79,ban,10,ban|bodi|interior,4
80,bodi,7,bodi,5
81,oli,16,bodi|oli,5
82,bodi,14,bodi|interior,5
83,ban,10,ban|bodi|interior,5
84,mesin,20,mesin|bodi|oli,5
85,oli,15,mesin|oli,4
86,mesin,20,mesin|bodi|oli,4
87,bodi,7,bodi,5
88,mesin,20,mesin|bodi|oli,4
89,ban,18,ban|oli,2
90,interior,11,interior|oli,5
91,ban,18,ban|oli,2
92,bodi,10,ban|bodi|interior,5
93,bodi,16,bodi|oli,3
94,ban,12,ban|bodi,5
95,bodi,20,mesin|bodi|oli,3
96,mesin,4,mesin|ban,4
97,oli,9,oli,3
98,bodi,16,bodi|oli,5
99,oli,11,interior|oli,4
100,interior,17,ban|interior,3
